School,Term,Code,Title,Instructor
Cornell University,SP22,ANSC 2000,Sustainable Food & Companion Animal Systems and Perspectives,Nathalie Trottier (nlt35)
Cornell University,SP22,ANSC 2100,Practical Large Animal Handling,Jessica Waltemyer (jrk272)
Cornell University,SP22,ANSC 2210,Principles of Animal Genetics,Jessica Waltemyer (jrk272)
Cornell University,SP22,ANSC 2400,Biology of Reproduction,Heather Huson (hjh3)
Cornell University,SP22,ANSC 2410,Biology of Reproduction Lab,Heather Huson (hjh3)
Cornell University,SP22,ANSC 2500,Dairy Cattle Principles,Heather Huson (hjh3)
Cornell University,SP22,ANSC 3300,Fish Physiology,Heather Huson (hjh3)
Cornell University,SP22,ANSC 3400,Comparative Mammalian Reproduction,Jeremy Allen (jja63)
Cornell University,SP22,ANSC 3410,Biology of the Mammary Gland in Health and Disease,Jeremy Allen (jja63)
Cornell University,SP22,ANSC 3450,Reproductive Physiology and Management of Dairy Cattle,Jeremy Allen (jja63)
Cornell University,SP22,ANSC 3510,Dairy Herd Management,Blake Nguyen (btn26)
Cornell University,SP22,ANSC 3511,Junior Dairy Fellows,Blake Nguyen (btn26)
Cornell University,SP22,ANSC 3550,Dairy Cattle Nutrition,Eugene Won (etw36)
Cornell University,SP22,ANSC 3600,Beef Cattle,Susan Quirk (smq1)
Cornell University,SP22,ANSC 3700,Immunology in Animal Health and Disease,Yves Boisclair (yrb1)
Cornell University,SP22,ANSC 3900,Animal Welfare Science Journal Club,Julio Giordano (jog25)
Cornell University,SP22,ANSC 4020,Seminar in Animal Sciences,Julio Giordano (jog25)
Cornell University,SP22,ANSC 4120,Whole-Farm Nutrient Management,Julio Giordano (jog25)
Cornell University,SP22,ANSC 4140,Ethics and Animal Science,Julio Giordano (jog25)
Cornell University,SP22,ANSC 4280,Comparative Nutrition of the Horse and Pig,Mike Van Amburgh (mev1)
Cornell University,SP22,ANSC 4290,Current Topics in Cat and Dog Nutrition,Thomas Overton (tro2)
Cornell University,SP22,ANSC 4410,Nutritional Physiology and Biochemistry,Thomas Overton (tro2)
Cornell University,SP22,ANSC 4560,Dairy Management Fellowship,Michael Baker (mjb28)
Cornell University,SP22,ANSC 4940,Special Topics in Animal Science,Michael Baker (mjb28)
Cornell University,SP22,ANSC 4960,Internship in Animal Science,Lindsay Goodale (lfg28)
Cornell University,SP22,ANSC 4970,Individual Study in Animal Science,Lindsay Goodale (lfg28)
Cornell University,SP22,ANSC 4980,Undergraduate Teaching in Animal Science,Susan Quirk (smq1)
Cornell University,SP22,ANSC 4990,Undergraduate Research in Animal Science,Mike Van Amburgh (mev1)
Cornell University,SP22,ANSC 5140,Ethics and Animal Science,Mike Van Amburgh (mev1)
Cornell University,SP22,ANSC 5210,Principles of Animal Genetics,Debbie Cherney (djc6)
Cornell University,SP22,ANSC 5300,Fish Physiology,Debbie Cherney (djc6)
Cornell University,SP22,ANSC 5410,Biology of the Mammary Gland in Health and Disease,Nathalie Trottier (nlt35)
Cornell University,SP22,ANSC 5450,Reproductive Physiology and Management of Dairy Cattle,Nathalie Trottier (nlt35)
Cornell University,SP22,ANSC 5510,Dairy Herd Management,Nathalie Trottier (nlt35)
Cornell University,SP22,ANSC 5550,Dairy Cattle Nutrition,Joseph McFadden (jwm43)
Cornell University,SP22,ANSC 5900,Animal Welfare Science Journal Club,Mike Van Amburgh (mev1)
Cornell University,SP22,ANSC 6120,Whole-Farm Nutrient Management,Mike Van Amburgh (mev1)
Cornell University,SP22,ANSC 6190,Division of Nutritional Sciences Seminar,Mike Van Amburgh (mev1)
Cornell University,SP22,ANSC 6220,Graduate Student Research Updates,Bruce Berggren-Thomas (bb66)
Cornell University,SP22,ANSC 6280,Comparative Nutrition of the Horse and Pig,
Cornell University,SP22,ANSC 6290,Current Topics in Cat and Dog Nutrition,
Cornell University,SP22,ANSC 6400,Graduate-Level Individual Study in Animal Science,
Cornell University,SP22,ANSC 6410,Nutritional Physiology and Biochemistry,
Cornell University,SP22,ANSC 6700,Immunology in Animal Health and Disease,Debbie Cherney (djc6)
Cornell University,SP22,ANSC 7900,Graduate-Level Thesis Research,Debbie Cherney (djc6)
Cornell University,SP22,ANSC 8900,Master's Level Thesis Research,Heather Huson (hjh3)
Cornell University,SP22,ANSC 9900,Doctoral-Level Thesis Research,Heather Huson (hjh3)
Cornell University,SP22,ANTHR 1101,"FWS: Culture, Society, and Power",Stacey Langwick (sal54)
Cornell University,SP22,ANTHR 1300,"Human Evolution: Genes, Behavior, and the Fossil Record",Karlie Fox-Knudtsen (kf273)
Cornell University,SP22,ANTHR 1520,Tamil Conversation in Context,Amir Mohamed (am2456)
Cornell University,SP22,ANTHR 2201,Early Agriculture,Simon Posner (sdp83)
Cornell University,SP22,ANTHR 2285,Egyptomania? Egypt and the Greco-Roman World,Adam Arcadi (apc13)
Cornell University,SP22,ANTHR 2400,Cultural Diversity and Contemporary Issues,
Cornell University,SP22,ANTHR 2440,The Social Life of Money,
Cornell University,SP22,ANTHR 2465,Global Heritage,Andrew Willford (acw24)
Cornell University,SP22,ANTHR 2468,"Medicine, Culture, and Society",Nerissa Russell (nr29)
